name,cccd,email,phone,address,status
Khách 001,012345000001,khach001@example.com,"=""0900000001""","123 Đường 1, Q1, TP.HCM",lead
Khách 002,012345000002,khach002@example.com,"=""0900000002""","124 Đường 2, Q1, TP.HCM",active
Khách 003,012345000003,khach003@example.com,"=""0900000003""","125 Đường 3, Q1, TP.HCM",inactive
Khách 004,012345000004,khach004@example.com,"=""0900000004""","126 Đường 4, Q1, TP.HCM",lead
Khách 005,012345000005,khach005@example.com,"=""0900000005""","127 Đường 5, Q1, TP.HCM",active
Khách 006,012345000006,khach006@example.com,"=""0900000006""","128 Đường 6, Q1, TP.HCM",inactive
Khách 007,012345000007,khach007@example.com,"=""0900000007""","129 Đường 7, Q1, TP.HCM",lead
Khách 008,012345000008,khach008@example.com,"=""0900000008""","130 Đường 8, Q1, TP.HCM",active
Khách 009,012345000009,khach009@example.com,"=""0900000009""","131 Đường 9, Q1, TP.HCM",inactive
Khách 010,012345000010,khach010@example.com,"=""0900000010""","132 Đường 10, Q1, TP.HCM",lead
Khách 011,012345000011,khach011@example.com,"=""0900000011""","133 Đường 11, Q1, TP.HCM",active
Khách 012,012345000012,khach012@example.com,"=""0900000012""","134 Đường 12, Q1, TP.HCM",inactive
Khách 013,012345000013,khach013@example.com,"=""0900000013""","135 Đường 13, Q1, TP.HCM",lead
Khách 014,012345000014,khach014@example.com,"=""0900000014""","136 Đường 14, Q1, TP.HCM",active
Khách 015,012345000015,khach015@example.com,"=""0900000015""","137 Đường 15, Q1, TP.HCM",inactive
Khách 016,012345000016,khach016@example.com,"=""0900000016""","138 Đường 16, Q1, TP.HCM",lead
Khách 017,012345000017,khach017@example.com,"=""0900000017""","139 Đường 17, Q1, TP.HCM",active
Khách 018,012345000018,khach018@example.com,"=""0900000018""","140 Đường 18, Q1, TP.HCM",inactive
Khách 019,012345000019,khach019@example.com,"=""0900000019""","141 Đường 19, Q1, TP.HCM",lead
Khách 020,012345000020,khach020@example.com,"=""0900000020""","142 Đường 20, Q1, TP.HCM",active
Khách 021,012345000021,khach021@example.com,"=""0900000021""","143 Đường 21, Q1, TP.HCM",inactive
Khách 022,012345000022,khach022@example.com,"=""0900000022""","144 Đường 22, Q1, TP.HCM",lead
Khách 023,012345000023,khach023@example.com,"=""0900000023""","145 Đường 23, Q1, TP.HCM",active
